org_id,icnptso_code,icnptso_code_probability,icnptso_code_source
GB-COH-05891980,B13,0.578,ml_model
GB-COH-05894409,B31,0.559,ml_model
GB-COH-05895893,H10,0.567,ml_model
GB-COH-05895907,D13,0.953,ml_model
GB-COH-05896381,F20,0.996,ml_model
GB-COH-05896419,F20,0.821,ml_model
GB-COH-05899179,F20,0.589,ml_model
GB-COH-05903348,H10,0.562,ml_model
GB-COH-05903530,F20,0.978,ml_model
GB-COH-05904023,A21,1.0,ml_model
GB-COH-05904048,F20,0.915,ml_model
GB-COH-05906503,B31,0.63,ml_model
GB-COH-05906633,F20,0.871,ml_model
GB-COH-05911081,F20,0.975,ml_model
GB-COH-05912594,L50,0.917,ml_model
GB-COH-05912629,F20,0.999,ml_model
GB-COH-05912677,B31,0.869,ml_model
GB-COH-05915050,B31,0.39,ml_model
GB-COH-05915136,B31,0.986,ml_model
GB-COH-05915913,G13,0.585,ml_model
GB-COH-05916255,F20,1.0,ml_model
GB-COH-05920437,F20,0.928,ml_model
GB-COH-05920475,A12,0.974,ml_model
GB-COH-05920502,D30,0.231,ml_model
GB-COH-05923297,H90,0.95,ml_model
GB-COH-05924694,D12,0.777,ml_model
GB-COH-05927572,L50,0.982,ml_model
GB-COH-05929717,F20,0.965,ml_model
GB-COH-05933331,A21,0.639,ml_model
GB-COH-05935259,F20,0.908,ml_model
GB-COH-05939817,H10,0.61,ml_model
GB-COH-05943414,F20,0.725,ml_model
GB-COH-05943419,G14,0.914,ml_model
GB-COH-05943431,F20,0.998,ml_model
GB-COH-05943502,H10,0.644,ml_model
GB-COH-05943528,B31,0.96,ml_model
GB-COH-05943554,H90,0.731,ml_model
GB-COH-05947958,F20,0.928,ml_model
GB-COH-05948528,A90,0.364,ml_model
GB-COH-05948545,A11,0.903,ml_model
GB-COH-05948732,H10,0.48,ml_model
GB-COH-05948759,D11,0.393,ml_model
GB-COH-05948766,A11,1.0,ml_model
GB-COH-05948799,A11,0.98,ml_model
GB-COH-05949169,D19,0.998,ml_model
GB-COH-05949797,H90,1.0,ml_model
GB-COH-05950209,G30,0.83,ml_model
GB-COH-05950224,B31,0.994,ml_model
GB-COH-05953751,B32,0.935,ml_model
